seed,direction,variant,split,field_strength,balanced_accuracy,auc,macro_f1,accuracy,sensitivity,specificity,n,n_subjects
43,ADNI_to_NACC,ce_x,source_val,1.5T,0.6130030959752322,0.6934984520123839,0.6111111111111112,0.6111111111111112,0.6470588235294118,0.5789473684210527,36,36
43,ADNI_to_NACC,ce_x,source_test,1.5T,0.6458333333333333,0.734375,0.641025641025641,0.6428571428571429,0.6666666666666666,0.625,28,28
43,ADNI_to_NACC,ce_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
43,ADNI_to_NACC,mixstyle_x,target,3T,0.6924759111855886,0.7807959782153331,0.7007106329282062,0.7461240310077519,0.5257142857142857,0.8592375366568915,516,516
43,ADNI_to_NACC,mixstyle_x,source_val,1.5T,0.6238390092879257,0.6656346749226006,0.6017021276595744,0.6388888888888888,0.35294117647058826,0.8947368421052632,36,36
43,ADNI_to_NACC,mixstyle_x,source_test,1.5T,0.5,0.703125,0.4822190611664296,0.5357142857142857,0.25,0.75,28,28
43,ADNI_to_NACC,mixstyle_x,source_test,3T,0.0,,0.0,0.0,0.0,,1,1
43,ADNI_to_NACC,apic_v3_x,target,3T,0.6401089233347298,0.7529116045245079,0.6471752695627226,0.7228682170542635,0.38285714285714284,0.8973607038123167,516,516
43,ADNI_to_NACC,apic_v3_x,source_val,1.5T,0.5975232198142415,0.7739938080495355,0.5785953177257526,0.6111111111111112,0.35294117647058826,0.8421052631578947,36,36
43,ADNI_to_NACC,apic_v3_x,source_test,1.5T,0.6458333333333334,0.7864583333333333,0.6415362731152205,0.6785714285714286,0.4166666666666667,0.875,28,28
43,ADNI_to_NACC,apic_v3_x,source_test,3T,0.0,,0.0,0.0,0.0,,1,1
43,NACC_to_ADNI,ce_x,target,1.5T,0.650595238095238,0.723015873015873,0.6490889155745836,0.6713286713286714,0.47619047619047616,0.825,143,143
43,NACC_to_ADNI,ce_x,target,3T,0.5,1.0,0.25,0.3333333333333333,0.0,1.0,3,3
43,NACC_to_ADNI,ce_x,source_val,3T,0.7036247334754797,0.8255863539445629,0.7088274044795784,0.7450980392156863,0.5714285714285714,0.835820895522388,102,102
43,NACC_to_ADNI,ce_x,source_test,3T,0.741659350307287,0.7932396839332748,0.7484148550724637,0.7821782178217822,0.6176470588235294,0.8656716417910447,101,101
43,NACC_to_ADNI,mixstyle_x,target,1.5T,0.678968253968254,0.7529761904761905,0.6789536887171722,0.6993006993006993,0.5079365079365079,0.85,143,143
43,NACC_to_ADNI,mixstyle_x,target,3T,0.5,1.0,0.25,0.3333333333333333,0.0,1.0,3,3
43,NACC_to_ADNI,mixstyle_x,source_val,3T,0.7682302771855011,0.837953091684435,0.770048309178744,0.7941176470588235,0.6857142857142857,0.8507462686567164,102,102
43,NACC_to_ADNI,mixstyle_x,source_test,3T,0.7339771729587358,0.8314310798946444,0.7339771729587358,0.7623762376237624,0.6470588235294118,0.8208955223880597,101,101
43,NACC_to_ADNI,apic_v3_x,target,1.5T,0.6669642857142857,0.7085317460317461,0.66817998385795,0.6783216783216783,0.5714285714285714,0.7625,143,143
43,NACC_to_ADNI,apic_v3_x,target,3T,0.5,1.0,0.25,0.3333333333333333,0.0,1.0,3,3
43,NACC_to_ADNI,apic_v3_x,source_val,3T,0.8091684434968016,0.8759061833688699,0.7850045167118338,0.7941176470588235,0.8571428571428571,0.7611940298507462,102,102
43,NACC_to_ADNI,apic_v3_x,source_test,3T,0.7701931518876207,0.8375768217734855,0.749379652605459,0.7623762376237624,0.7941176470588235,0.746268656716418,101,101
