direction,variant,split,auc,macro_f1,brier,ece,sensitivity,specificity,accuracy,auc_boot,auc_lo,auc_hi,macro_f1_boot,macro_f1_lo,macro_f1_hi,brier_boot,brier_lo,brier_hi,ece_boot,ece_lo,ece_hi,sensitivity_boot,sensitivity_lo,sensitivity_hi,specificity_boot,specificity_lo,specificity_hi,accuracy_boot,accuracy_lo,accuracy_hi
adni_to_nacc,dual_shift,source_test,0.8848484848484849,0.8590785907859078,0.12208611687992914,0.10813984330470638,0.9333333333333333,0.7727272727272727,0.8653846153846154,0.8848484848484849,0.7516246498599439,0.9762609766545298,0.8590785907859078,0.7631469979296066,0.957541748756919,0.12208611687992914,0.04439825648538149,0.19831986752634367,0.10813984330470638,0.04825611828717204,0.19840801506076405,0.9333333333333333,0.8455357142857144,1.0,0.7727272727272727,0.5882352941176471,0.9444444444444444,0.8653846153846154,0.7879807692307693,0.9615384615384616
adni_to_nacc,dual_shift,target,0.9263843738712456,0.7872041423333078,0.13345667165854294,0.10816745624631752,0.8763440860215054,0.8320413436692506,0.840625,0.9263843738712456,0.9068414888248625,0.9425782690996953,0.7872041423333078,0.759239630362961,0.8116352558971928,0.13345667165854294,0.11496995466794117,0.1529431852775587,0.10816745624631752,0.09161736468444955,0.12891581779788897,0.8763440860215054,0.8332474226804124,0.9223410774973536,0.8320413436692506,0.8064809084145022,0.857682861848479,0.840625,0.81875,0.8604687500000001
nacc_to_adni,ce_only,source_val,0.940714908456844,0.8591585760517799,0.07229074299492061,0.04435292023441031,0.7837837837837838,0.9419354838709677,0.9114583333333334,0.940714908456844,0.9057068273540101,0.9698636742617504,0.8591585760517799,0.7953488795797073,0.9028455261703343,0.07229074299492061,0.04853328534022992,0.10324425417225379,0.04435292023441031,0.029267271171556856,0.09371272285158433,0.7837837837837838,0.6578759398496241,0.8975000000000001,0.9419354838709677,0.9084509803921569,0.9754259259259259,0.9114583333333334,0.8697916666666666,0.9427083333333334
nacc_to_adni,ce_only,source_test,0.9391455972101134,0.8167254617140486,0.08534151108361261,0.06683659794119497,0.7567567567567568,0.9096774193548387,0.8802083333333334,0.9391455972101134,0.895898306694485,0.9711886977013028,0.8167254617140486,0.7539302802460697,0.8737408292172849,0.08534151108361261,0.05629690686914028,0.1224585211967712,0.06683659794119497,0.03746318293140376,0.11248272149629572,0.7567567567567568,0.6152439024390245,0.8751488095238096,0.9096774193548387,0.8644492784380305,0.953657533653638,0.8802083333333334,0.828125,0.921875
nacc_to_adni,ce_only,target,0.8880810340541885,0.766250303177298,0.17472372138487324,0.1309382834175126,0.6912751677852349,0.8703703703703703,0.7665369649805448,0.8880810340541885,0.8492416878888617,0.9213204887218045,0.766250303177298,0.7120055314123985,0.8083778760334513,0.17472372138487324,0.14505257575220934,0.21154380042532145,0.1309382834175126,0.10030687745666415,0.1849531012140931,0.6912751677852349,0.6241392387606877,0.7613459023539668,0.8703703703703703,0.8154286499358857,0.9271205357142858,0.7665369649805448,0.7120622568093385,0.8095330739299611
nacc_to_adni,mixstyle,source_val,0.9394943330427201,0.8523581681476419,0.0751300606233021,0.04661595368654359,0.7837837837837838,0.9354838709677419,0.90625,0.9394943330427201,0.897500509388256,0.9738799479276159,0.8523581681476419,0.7886273071751619,0.9064014929899736,0.0751300606233021,0.05221330394068911,0.10084622621752762,0.04661595368654359,0.027660107192221273,0.09489709849909145,0.7837837837837838,0.6578759398496241,0.9144015444015444,0.9354838709677419,0.8960522920787821,0.9684789029535866,0.90625,0.8645833333333334,0.9375
nacc_to_adni,mixstyle,source_test,0.9487358326068004,0.8619230931934515,0.07025189515274387,0.03273121434742491,0.8108108108108109,0.9354838709677419,0.9114583333333334,0.9487358326068004,0.9071719728188872,0.9756183711044132,0.8619230931934515,0.7920374629723224,0.9145754814208241,0.07025189515274387,0.04924408148295878,0.10095390366992694,0.03273121434742491,0.020591572526366946,0.07754598606714139,0.8108108108108109,0.6785189075630252,0.9169642857142858,0.9354838709677419,0.8918338583982756,0.9726165302932794,0.9114583333333334,0.8696614583333333,0.9427083333333334
nacc_to_adni,mixstyle,target,0.9149888143176733,0.8309546754776437,0.12441573695111424,0.049608582550615204,0.8053691275167785,0.8703703703703703,0.8326848249027238,0.9149888143176733,0.8795147380943037,0.9429999936090432,0.8309546754776437,0.7805725803587895,0.870722462475595,0.12441573695111424,0.09949215834301871,0.15496232038200436,0.049608582550615204,0.04039625663639195,0.10327361551874603,0.8053691275167785,0.7427339901477833,0.8581319154725195,0.8703703703703703,0.8099583333333334,0.9259259259259259,0.8326848249027238,0.7858949416342412,0.8754863813229572
nacc_to_adni,apis_only,source_val,0.9455972101133392,0.8456787512162105,0.06484214183533142,0.04396873668560558,0.7837837837837838,0.9290322580645162,0.9010416666666666,0.9455972101133392,0.8921769892304237,0.9868520411633185,0.8456787512162105,0.7699690795394236,0.9064014929899736,0.06484214183533142,0.039544290700669914,0.09446340812545384,0.04396873668560558,0.022183920846631188,0.08396409868857721,0.7837837837837838,0.6388257575757575,0.911827731092437,0.9290322580645162,0.8867702925161454,0.9675377042312526,0.9010416666666666,0.8592447916666667,0.9376302083333333
nacc_to_adni,apis_only,source_test,0.9761115954664341,0.8876839310624128,0.04849361583466514,0.017338641131775395,0.7837837837837838,0.967741935483871,0.9322916666666666,0.9761115954664341,0.952699180938198,0.9909560848801086,0.8876839310624128,0.8230940936823291,0.9395842256200646,0.04849361583466514,0.030276852148536804,0.07364477017416893,0.017338641131775395,0.014343352428598655,0.05804610423518971,0.7837837837837838,0.658685064935065,0.8812258687258687,0.967741935483871,0.9333108108108108,0.9933807086952782,0.9322916666666666,0.890625,0.9635416666666666
nacc_to_adni,apis_only,target,0.939845886154611,0.8169432446768206,0.14108896168240864,0.07733073693862172,0.7315436241610739,0.9351851851851852,0.8171206225680934,0.939845886154611,0.9103231918966282,0.9629852864357016,0.8169432446768206,0.7698408777046379,0.8544268150035146,0.14108896168240864,0.11424526974406551,0.1756507502309515,0.07733073693862172,0.05703663022024862,0.1343072270872324,0.7315436241610739,0.6553323270078589,0.8001013513513514,0.9351851851851852,0.8823238206173558,0.9722529498525073,0.8171206225680934,0.7703307392996109,0.8561284046692607
nacc_to_adni,cdt_only,source_val,0.9152571926765475,0.8321601104209799,0.0773244119597951,0.05671221739612519,0.6756756756756757,0.9548387096774194,0.9010416666666666,0.9152571926765475,0.8628291247074947,0.9613254907686654,0.8321601104209799,0.7621131489056018,0.8876458333333334,0.0773244119597951,0.05146225850688088,0.11419587067062573,0.05671221739612519,0.03513979762921943,0.10460775174562721,0.6756756756756757,0.5496646341463416,0.8207142857142857,0.9548387096774194,0.9204895292643638,0.9870171495171495,0.9010416666666666,0.8592447916666667,0.9376302083333333
nacc_to_adni,cdt_only,source_test,0.9595466434176112,0.8777070063694268,0.05461900388651577,0.05298547965422683,0.7567567567567568,0.967741935483871,0.9270833333333334,0.9595466434176112,0.9238086373790022,0.9850334813371592,0.8777070063694268,0.7982387589160976,0.9210601307381469,0.05461900388651577,0.03499960821526802,0.083082161362412,0.05298547965422683,0.029077026736275772,0.08704648002943347,0.7567567567567568,0.5881845841784991,0.8812258687258687,0.967741935483871,0.9378784937888198,0.9872611464968153,0.9270833333333334,0.8802083333333334,0.953125
nacc_to_adni,cdt_only,target,0.9125031071339796,0.7818336162988115,0.15502659648607295,0.09422415800438994,0.7046979865771812,0.8888888888888888,0.7821011673151751,0.9125031071339796,0.8751635310395224,0.9458486264382592,0.7818336162988115,0.7263583230910279,0.8282153310822956,0.15502659648607295,0.12678970011758148,0.1929619408751004,0.09422415800438994,0.06932693821317207,0.14974311881509658,0.7046979865771812,0.6206896551724138,0.761539110267763,0.8888888888888888,0.8173892140468227,0.9464657738095238,0.7821011673151751,0.7275291828793774,0.8287937743190662
nacc_to_adni,dual_shift,source_val,0.9351351351351351,0.8359535201640464,0.08499142074540454,0.05746434295239546,0.7567567567567568,0.9290322580645162,0.8958333333333334,0.9351351351351351,0.886229589554805,0.9695345763352453,0.8359535201640464,0.7630070381886301,0.8983325196803319,0.08499142074540454,0.056895194623715645,0.12144168939839942,0.05746434295239546,0.036697764287883745,0.11140221932954683,0.7567567567567568,0.631578947368421,0.8918918918918919,0.9290322580645162,0.88453125,0.9666721854304636,0.8958333333333334,0.848828125,0.9375
nacc_to_adni,dual_shift,source_test,0.9722755013077594,0.9106561191251745,0.04769237503471674,0.037098132746501214,0.8918918918918919,0.9548387096774194,0.9427083333333334,0.9722755013077594,0.9474761250183689,0.9912807855626327,0.9106561191251745,0.8525194533466736,0.9568243451346181,0.04769237503471674,0.02641519937640819,0.07795170444629514,0.037098132746501214,0.021113267343025655,0.07845234984221565,0.8918918918918919,0.7894736842105263,0.973810190369541,0.9548387096774194,0.913241935483871,0.980534795393286,0.9427083333333334,0.9009114583333333,0.9739583333333334
nacc_to_adni,dual_shift,target,0.9133109619686802,0.8274114774114774,0.13459541253263438,0.10409250285663497,0.7919463087248322,0.8796296296296297,0.8287937743190662,0.9133109619686802,0.8795916356205046,0.9436742842159748,0.8274114774114774,0.7764709686428115,0.8698355001069785,0.13459541253263438,0.10491223598394941,0.17337062858193186,0.10409250285663497,0.0785617843404039,0.1556879940759221,0.7919463087248322,0.7248322147651006,0.8500337837837838,0.8796296296296297,0.8239049145299145,0.9323025604038947,0.8287937743190662,0.7781128404669261,0.8715953307392996
