seed,direction,variant,split,field_strength,balanced_accuracy,auc,macro_f1,accuracy,sensitivity,specificity,n,n_subjects
42,NACC_to_ADNI,apic_v3_2_x,source_test,3T,0.7047848990342406,0.7963125548726953,0.7116592440333447,0.7524752475247525,0.5588235294117647,0.8507462686567164,101,101
43,ADNI_to_NACC,ce_x,target,3T,0.6649183074989526,0.7562295768747381,0.6704750240573878,0.7170542635658915,0.5028571428571429,0.8269794721407625,516,516
43,ADNI_to_NACC,ce_x,source_val,1.5T,0.6424148606811146,0.696594427244582,0.6386100386100386,0.6388888888888888,0.7058823529411765,0.5789473684210527,36,36
43,ADNI_to_NACC,ce_x,source_test,1.5T,0.71875,0.8020833333333333,0.7128205128205127,0.7142857142857143,0.75,0.6875,28,28
43,ADNI_to_NACC,ce_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
43,ADNI_to_NACC,mixstyle_x,target,3T,0.6861164641809803,0.7436447423544197,0.6721936344577853,0.689922480620155,0.6742857142857143,0.6979472140762464,516,516
43,ADNI_to_NACC,mixstyle_x,source_val,1.5T,0.563467492260062,0.5758513931888545,0.55,0.5555555555555556,0.7058823529411765,0.42105263157894735,36,36
43,ADNI_to_NACC,mixstyle_x,source_test,1.5T,0.6041666666666667,0.59375,0.5625,0.5714285714285714,0.8333333333333334,0.375,28,28
43,ADNI_to_NACC,mixstyle_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
43,ADNI_to_NACC,apic_v3_2_x,target,3T,0.6755927943024718,0.7596816087138669,0.6740908184296257,0.7054263565891473,0.5828571428571429,0.7683284457478006,516,516
43,ADNI_to_NACC,apic_v3_2_x,source_val,1.5T,0.695046439628483,0.7027863777089783,0.6942084942084943,0.6944444444444444,0.7058823529411765,0.6842105263157895,36,36
43,ADNI_to_NACC,apic_v3_2_x,source_test,1.5T,0.71875,0.75,0.7128205128205127,0.7142857142857143,0.75,0.6875,28,28
43,ADNI_to_NACC,apic_v3_2_x,source_test,3T,1.0,,0.5,1.0,1.0,,1,1
43,NACC_to_ADNI,ce_x,target,1.5T,0.6985119047619048,0.7428571428571429,0.6850682719130818,0.6853146853146853,0.8095238095238095,0.5875,143,143
43,NACC_to_ADNI,ce_x,target,3T,0.75,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,3,3
43,NACC_to_ADNI,ce_x,source_val,3T,0.7358208955223882,0.8140724946695096,0.707563025210084,0.7156862745098039,0.8,0.6716417910447762,102,102
43,NACC_to_ADNI,ce_x,source_test,3T,0.6955662862159788,0.8261633011413521,0.657695374800638,0.6633663366336634,0.7941176470588235,0.5970149253731343,101,101
43,NACC_to_ADNI,mixstyle_x,target,1.5T,0.6765873015873016,0.7484126984126984,0.6776859504132231,0.6853146853146853,0.6031746031746031,0.75,143,143
43,NACC_to_ADNI,mixstyle_x,target,3T,0.5,1.0,0.25,0.3333333333333333,0.0,1.0,3,3
43,NACC_to_ADNI,mixstyle_x,source_val,3T,0.7458422174840085,0.8362473347547974,0.7424242424242424,0.7647058823529411,0.6857142857142857,0.8059701492537313,102,102
43,NACC_to_ADNI,mixstyle_x,source_test,3T,0.7337576821773486,0.8287971905179982,0.7285238146435867,0.7524752475247525,0.6764705882352942,0.7910447761194029,101,101
43,NACC_to_ADNI,apic_v3_2_x,target,1.5T,0.6878968253968254,0.7277777777777779,0.6878968253968254,0.6923076923076923,0.6507936507936508,0.725,143,143
43,NACC_to_ADNI,apic_v3_2_x,target,3T,0.5,1.0,0.25,0.3333333333333333,0.0,1.0,3,3
43,NACC_to_ADNI,apic_v3_2_x,source_val,3T,0.7582089552238807,0.828997867803838,0.7349060375849661,0.7450980392156863,0.8,0.7164179104477612,102,102
43,NACC_to_ADNI,apic_v3_2_x,source_test,3T,0.7410008779631256,0.8476733977172959,0.7318678984814697,0.7524752475247525,0.7058823529411765,0.7761194029850746,101,101
