seed,direction,variant,split,field_strength,status,balanced_accuracy,auc,macro_f1,sensitivity,specificity,accuracy,brier,ece,group_gap,worst_group_auc,n_subjects,n
42,adni_to_nacc,metadata,source_val,3T,complete,0.7571428571428571,0.7714285714285715,0.7482517482517481,0.8,0.7142857142857143,0.75,0.2085187870578421,0.19406759987274805,0.375,0.625,12,12
42,adni_to_nacc,metadata,source_test,1.5T,complete,0.8036437246963564,0.9271255060728745,0.8109243697478992,0.9230769230769231,0.6842105263157895,0.8222222222222222,0.11759512805858928,0.07096849759419757,0.33333333333333337,0.6666666666666666,45,45
42,adni_to_nacc,metadata,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.045977993360354096,0.17484029134114581,,,6,6
42,adni_to_nacc,metadata_xda,target,3T,complete,0.5,0.5,0.4463667820069204,0.0,1.0,0.80625,0.19375,0.19374999999999998,0.0,0.5,960,960
42,adni_to_nacc,metadata_xda,source_val,1.5T,complete,0.8730769230769231,0.8961538461538462,0.8685714285714285,0.8461538461538461,0.9,0.8695652173913043,0.129862221480406,0.12670152911889376,0.19999999999999996,0.8,46,46
42,adni_to_nacc,metadata_xda,source_val,3T,complete,0.6571428571428571,0.8285714285714285,0.6571428571428571,0.6,0.7142857142857143,0.6666666666666666,0.2545283377771728,0.28289120934075784,0.25,0.75,12,12
42,adni_to_nacc,metadata_xda,source_test,1.5T,complete,0.8562753036437247,0.9493927125506072,0.8611111111111112,0.9230769230769231,0.7894736842105263,0.8666666666666667,0.10008527635151611,0.07108971652057436,0.25,0.75,45,45
42,adni_to_nacc,metadata_xda,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.004451509007226602,0.03396576311853198,,,6,6
42,adni_to_nacc,apis_v2,target,3T,complete,0.8232266399933317,0.9037745547497986,0.7687174370912315,0.8118279569892473,0.834625322997416,0.8302083333333333,0.14188928353151703,0.11619945006871905,0.11330741251724574,0.8463564530289728,960,960
42,adni_to_nacc,apis_v2,source_val,1.5T,complete,0.8538461538461539,0.9096153846153847,0.8471760797342194,0.8076923076923077,0.9,0.8478260869565217,0.13166642448134508,0.11897634201939547,0.2571428571428571,0.7428571428571429,46,46
42,adni_to_nacc,apis_v2,source_val,3T,complete,0.7285714285714285,0.8,0.7333333333333332,0.6,0.8571428571428571,0.75,0.21366551556893562,0.26380134084158485,0.5,0.5,12,12
42,adni_to_nacc,apis_v2,source_test,1.5T,complete,0.8107287449392713,0.9453441295546559,0.8148148148148149,0.8846153846153846,0.7368421052631579,0.8222222222222222,0.1212080693430988,0.11798674681120454,0.125,0.875,45,45
42,adni_to_nacc,apis_v2,source_test,3T,complete,1.0,,0.5,,1.0,1.0,0.04187490964025675,0.09305172993077176,,,6,6
42,nacc_to_adni,ce_only,target,1.5T,complete,0.7874149659863945,0.9077583414318108,0.7937252382482065,0.9523809523809523,0.6224489795918368,0.8080357142857143,0.15587942077741188,0.11956918008370503,0.18613485280151953,0.8138651471984805,224,224
42,nacc_to_adni,ce_only,target,3T,complete,0.7710622710622711,0.8791208791208791,0.7350649350649352,0.9230769230769231,0.6190476190476191,0.7352941176470589,0.1904031911653338,0.17144516373381896,0.33333333333333326,0.6666666666666667,34,34
42,nacc_to_adni,ce_only,target,unknown,complete,1.0,,0.5,,1.0,1.0,0.00020200357010637993,0.01421278715133667,,,1,1
42,nacc_to_adni,ce_only,source_val,3T,complete,0.7761987794245859,0.9394943330427201,0.6376598867687147,0.9459459459459459,0.6064516129032258,0.671875,0.24680450944735133,0.21459632965787828,0.15037593984962405,0.849624060150376,192,192
42,nacc_to_adni,ce_only,source_test,3T,complete,0.7935483870967741,0.9595466434176112,0.6380346412159774,1.0,0.5870967741935483,0.6666666666666666,0.23698295648046175,0.2192075054626912,0.10526315789473673,0.8947368421052633,192,192
42,nacc_to_adni,mixstyle,target,1.5T,complete,0.8157596371882085,0.9154518950437317,0.8077253218884122,0.753968253968254,0.8775510204081632,0.8080357142857143,0.12971237100269134,0.08578381065509291,0.1428571428571428,0.8571428571428572,224,224
42,nacc_to_adni,mixstyle,target,3T,complete,0.7362637362637363,0.8901098901098902,0.7424242424242424,0.6153846153846154,0.8571428571428571,0.7647058823529411,0.1528890241697115,0.15634154002456094,0.33333333333333337,0.6666666666666666,34,34
42,nacc_to_adni,mixstyle,target,unknown,complete,1.0,,0.5,,1.0,1.0,1.330394603220893e-06,0.001153409481048584,,,1,1
42,nacc_to_adni,mixstyle,source_val,3T,complete,0.8608544027898867,0.9229293809938971,0.8201966599032309,0.8378378378378378,0.8838709677419355,0.875,0.10104171288987007,0.08758447517175239,0.17003446115288234,0.819548872180451,192,192
42,nacc_to_adni,mixstyle,source_test,3T,complete,0.9310374891020052,0.9752397558849172,0.8866810938422192,0.9459459459459459,0.9161290322580645,0.921875,0.06539281747971827,0.05218952905367289,0.10317460317460314,0.8968253968253969,192,192
42,nacc_to_adni,metadata,target,1.5T,complete,0.49829931972789115,0.5346614836410755,0.453981777304461,0.8333333333333334,0.16326530612244897,0.5401785714285714,0.3816753472222222,0.3481398809523809,0.28525641025641013,0.48557692307692313,224,224
42,nacc_to_adni,metadata,target,3T,complete,0.5421245421245421,0.5274725274725275,0.4535714285714285,0.8461538461538461,0.23809523809523808,0.47058823529411764,0.48921368507973156,0.5243589243847037,0.36666666666666675,0.3,34,34
42,nacc_to_adni,metadata,target,unknown,complete,1.0,,0.5,,1.0,1.0,5.28461726896279e-07,0.0007269382476806641,,,1,1
42,nacc_to_adni,metadata,source_val,3T,complete,0.8531822144725371,0.9351351351351351,0.8391151332327802,0.7837837837837838,0.9225806451612903,0.8958333333333334,0.08628129161000346,0.06428941603129115,0.12030075187969924,0.8796992481203008,192,192
42,nacc_to_adni,metadata,source_test,3T,complete,0.9130775937227551,0.9698343504795118,0.9088673139158576,0.8648648648648649,0.9612903225806452,0.9427083333333334,0.05232880634145091,0.04196513193245575,0.06666666666666665,0.9333333333333333,192,192
42,nacc_to_adni,metadata_xda,target,1.5T,complete,0.5158730158730158,0.48003725299643674,0.33894533139816163,0.031746031746031744,1.0,0.45535714285714285,0.5505654761904762,0.5553571428571429,0.14835164835164832,0.4230769230769231,224,224
